research_period,cost_bps,strategy,n_months,annualized_mean,cagr,annualized_volatility,sharpe,maximum_drawdown,hit_rate
post_freeze_extension,0.0,equal_weight_etfs,7,0.33457344605965167,0.3613468701850153,0.23124491769972658,1.4468358889257753,-0.05281194524247834,0.7142857142857143
post_freeze_extension,0.0,etf_proxy,7,0.2836558846364623,0.3001103722659171,0.20999886385055702,1.3507496156661225,-0.054471801138432197,0.7142857142857143
post_freeze_extension,0.0,spy,7,0.16771731347015686,0.16654105455827706,0.17500624022408656,0.9583504751339347,-0.05759487239239591,0.42857142857142855
post_freeze_extension,5.0,equal_weight_etfs,7,0.3344978423038194,0.3612481612781626,0.23123787644674076,1.446552993150591,-0.05281289780460097,0.7142857142857143
post_freeze_extension,5.0,etf_proxy,7,0.28358670056674473,0.30002358829452525,0.20999276274646533,1.3504594008753197,-0.05447317399639062,0.7142857142857143
post_freeze_extension,5.0,spy,7,0.16771731347015686,0.16654105455827706,0.17500624022408656,0.9583504751339347,-0.05759487239239591,0.42857142857142855
post_freeze_extension,10.0,equal_weight_etfs,7,0.3344222385479873,0.3611494587747792,0.2312308356439956,1.4462700773302823,-0.05281385036672348,0.7142857142857143
post_freeze_extension,10.0,etf_proxy,7,0.28351751649702717,0.29993680951883417,0.2099866620166826,1.3501691668135705,-0.05447454685434905,0.7142857142857143
post_freeze_extension,10.0,spy,7,0.16771731347015686,0.16654105455827706,0.17500624022408656,0.9583504751339347,-0.05759487239239591,0.42857142857142855
post_freeze_extension,25.0,equal_weight_etfs,7,0.33419542728049073,0.36085338968175895,0.23120971593761488,1.445421209594252,-0.052816708053091355,0.7142857142857143
post_freeze_extension,25.0,etf_proxy,7,0.2833099642878745,0.29967650436320326,0.2099683620735148,1.3492983489992703,-0.05447866542822433,0.7142857142857143
post_freeze_extension,25.0,spy,7,0.16771731347015686,0.16654105455827706,0.17500624022408656,0.9583504751339347,-0.05759487239239591,0.42857142857142855
primary_assessment,0.0,equal_weight_etfs,60,0.12066309047488508,0.11398396204148353,0.15754774674274463,0.7658826798196772,-0.25347463464318587,0.6666666666666666
primary_assessment,0.0,etf_proxy,60,0.12593412871217755,0.12012134217188342,0.15566453657361998,0.80900975574882,-0.25841355042952774,0.6666666666666666
primary_assessment,0.0,spy,60,0.14601899986176453,0.1433510234076978,0.15136881230700014,0.9646571023204877,-0.23927178828328344,0.6666666666666666
primary_assessment,5.0,equal_weight_etfs,60,0.1206174112223749,0.11393354107920328,0.15754741252779383,0.7655943648144402,-0.2535020994431295,0.6666666666666666
primary_assessment,5.0,etf_proxy,60,0.12589623899360766,0.12007932141575739,0.15566417523068612,0.8087682269027928,-0.2584360025045186,0.6666666666666666
primary_assessment,5.0,spy,60,0.14601899986176453,0.1433510234076978,0.15136881230700014,0.9646571023204877,-0.23927178828328344,0.6666666666666666
primary_assessment,10.0,equal_weight_etfs,60,0.1205717319698647,0.11388312217351393,0.15754707852368255,0.7653060475617789,-0.25352956335381815,0.6666666666666666
primary_assessment,10.0,etf_proxy,60,0.1258583492750377,0.12003730207973695,0.15566381403751747,0.8085266961575528,-0.25845845398001943,0.6666666666666666
primary_assessment,10.0,spy,60,0.14601899986176453,0.1433510234076978,0.15136881230700014,0.9646571023204877,-0.23927178828328344,0.6666666666666666
primary_assessment,25.0,equal_weight_etfs,60,0.12043469421233413,0.11373187779523453,0.15754607777639956,0.764441082330615,-0.2536119497506052,0.6666666666666666
primary_assessment,25.0,etf_proxy,60,0.12574468011932782,0.1199112525918773,0.15566273135661363,0.8078020925333411,-0.2585258048097254,0.6666666666666666
primary_assessment,25.0,spy,60,0.14601899986176453,0.1433510234076978,0.15136881230700014,0.9646571023204877,-0.23927178828328344,0.6666666666666666
