period,signal,strategy,cost_bps,n_months,alpha_annualized,alpha_hac_t_stat,alpha_p_value,r_squared,minimum_required_months,inference_eligible,test_family,beta_mktrf,beta_smb,beta_hml,beta_rmw,beta_cma,beta_umd,alpha_p_holm,alpha_significant_5pct
retrospective,MOM,long_only,25.0,419,-0.016381662185614987,-1.9858451457457558,0.04705052115018637,0.9449163714604933,24,True,exploratory,1.1343681434392434,0.4108364654088021,-0.026525977620018522,-0.20040408967059467,-0.10843101752954942,0.3369517545290798,1.0,False
retrospective,MOM,long_short,0.0,419,0.008615958338906044,0.9422803133010309,0.3460491445764716,0.8114121091459036,24,True,exploratory,0.019794396267616116,0.05187180537236254,-0.046867038690699914,-0.10517373711193671,-0.13537401794663353,0.6849857435220946,1.0,False
retrospective,MOM,long_short,10.0,419,-0.004067169360475405,-0.44511235657089876,0.656238559534392,0.8115743871391643,24,True,exploratory,0.019556264576893488,0.05162965460714666,-0.046871956544520574,-0.1055024573524691,-0.13599785144033621,0.685012241063811,1.0,False
retrospective,MOM,long_short,25.0,419,-0.023091860909547582,-2.5290878275000868,0.01143594063092291,0.8117699209696059,24,True,exploratory,0.01919906704080963,0.051266428459322694,-0.04687933332525158,-0.10599553771326767,-0.1369336016808899,0.6850519873763857,0.6632845565935288,False
retrospective,QUALITY,continuous_long_short,0.0,419,0.021282799306342526,2.385100717449797,0.017074446045040128,0.46246038775766596,24,True,exploratory,-0.07652057387322722,-0.0022914500749845086,-0.1610689986545729,0.46282669498653306,-0.021710033657197116,0.009889549079963415,0.9561689785222471,False
retrospective,QUALITY,continuous_long_short,10.0,419,0.017758961061611248,1.9906987558772526,0.046514015585090766,0.46190984085085873,24,True,exploratory,-0.07659421507644996,-0.002397446558071018,-0.16105475119864335,0.4621084592427617,-0.02238124567103452,0.010081441455558967,1.0,False
retrospective,QUALITY,continuous_long_short,25.0,419,0.01247320369451434,1.3983818691954695,0.16199842477318227,0.46097427441735783,24,True,exploratory,-0.07670467688128409,-0.0025564412827008168,-0.1610333800147491,0.46103110562710453,-0.02338806369179068,0.010369280018952301,1.0,False
retrospective,QUALITY,long_only,0.0,419,0.00870310331612149,1.2926499133794518,0.19613216811332468,0.9414729962052761,24,True,exploratory,1.0281494763734496,0.34720573187533554,-0.14756628936103738,0.22753142510926336,-0.023120155124196795,-0.024931610796677273,1.0,False
retrospective,QUALITY,long_only,10.0,419,0.007074479029763072,1.0507561083043675,0.29337061915193485,0.9414450451517379,24,True,exploratory,1.0280653374550854,0.3471624394534939,-0.14761438848442032,0.22720261384152093,-0.023417129777148445,-0.024901362946644183,1.0,False
retrospective,QUALITY,long_only,25.0,419,0.004631542600225469,0.6878439647217416,0.49155104681356887,0.9413947047188342,24,True,exploratory,1.0279391290775395,0.3470975008207315,-0.14768653716949476,0.22670939693990716,-0.023862591756576117,-0.024855991171594618,1.0,False
retrospective,QUALITY,long_short,0.0,419,0.026335064456475134,2.701138914600805,0.006910246960821658,0.43133389690903157,24,True,exploratory,-0.07612041765645296,-0.024823513237933626,-0.15578842011698008,0.4386207835733999,-0.014346549430834485,0.03291151220244726,0.4077045706884778,False
retrospective,QUALITY,long_short,10.0,419,0.022616898046865508,2.3215025150643482,0.020259738514365473,0.4308135860324962,24,True,exploratory,-0.07620991885010017,-0.024932700242715763,-0.15581242639620102,0.4379200010987914,-0.015120882370649154,0.03310607513847742,1.0,False
retrospective,QUALITY,long_short,25.0,419,0.017039648432451066,1.7506101709818531,0.08001308209461205,0.42993160953466325,24,True,exploratory,-0.07634417064057103,-0.025096480749888978,-0.15584843581503255,0.43686882738687827,-0.016282381780371096,0.03339791954252264,1.0,False
retrospective,SIZE,continuous_long_short,0.0,419,-0.0047184490295727735,-0.8921319669171812,0.37232220244856784,0.7709966888620641,24,True,exploratory,0.059194393264067,0.5224070029184809,0.06285497437433614,0.02509044246302409,-0.04314955257714289,-0.036681137950368474,1.0,False
retrospective,SIZE,continuous_long_short,10.0,419,-0.008709548683006527,-1.6418898275455611,0.10061283838805413,0.7710312999085565,24,True,exploratory,0.05925257219582774,0.5221610944234092,0.06294708097351139,0.02461210060610207,-0.04378447196056496,-0.036445400084199095,1.0,False
retrospective,SIZE,continuous_long_short,25.0,419,-0.014696198163157162,-2.756213521216297,0.0058474811031087905,0.770974057820641,24,True,exploratory,0.05933984059346884,0.5217922316808019,0.06308524087227427,0.023894587820719026,-0.04473685103569808,-0.03609179328494503,0.35084886618652744,False
retrospective,SIZE,long_only,0.0,419,-0.009973948167066125,-1.5767714650056093,0.11484811968932618,0.9595527925528209,24,True,exploratory,1.0704833823207942,0.5412342622342292,0.13738191699002406,0.008844487950687756,-0.03676372721188772,-0.018696900334809845,1.0,False
retrospective,SIZE,long_only,10.0,419,-0.014546749002457456,-2.297832945282267,0.021571298900305506,0.9595716297920986,24,True,exploratory,1.0705439169969952,0.5409524066156572,0.13758815460896254,0.008351408249296267,-0.037836866853034,-0.018458869278474642,1.0,False
retrospective,SIZE,long_only,25.0,419,-0.021405950255544474,-3.374667265863016,0.0007390498818963293,0.9595823543258606,24,True,exploratory,1.0706347190112981,0.5405296231877996,0.13789751103737005,0.007611788697209399,-0.039446576314753456,-0.018101822693971727,0.04508204279567608,True
retrospective,SIZE,long_short,0.0,419,-0.008795171032316357,-1.4034370421395945,0.16048655357893027,0.7438876457899863,24,True,exploratory,0.0700581544166994,0.5794931123665954,0.07676328181745988,0.04084896364722975,-0.044802383109652295,-0.03369556780204803,1.0,False
retrospective,SIZE,long_short,10.0,419,-0.014373826009747275,-2.288130655777239,0.022129913476102735,0.7437695458900777,24,True,exploratory,0.07013970073968248,0.579158002746833,0.07701101514473303,0.04030897277162083,-0.045929062819371494,-0.03341967468683476,1.0,False
retrospective,SIZE,long_short,25.0,419,-0.02274180847589364,-3.60324976323446,0.00031426328818496716,0.743453160494587,24,True,exploratory,0.07026202022415712,0.578655338317189,0.07738261513564276,0.039498986458207506,-0.047619082383950476,-0.033005835014014814,0.019484323867467963,True
retrospective,VALUE,continuous_long_short,0.0,419,0.003276580061410019,0.3803957198090573,0.7036516913594935,0.8045647382420177,24,True,exploratory,0.09676491853088809,-0.028164157565279284,0.4140849654060139,0.10937505647010688,0.22245391339996115,-0.3235621438057215,1.0,False
retrospective,VALUE,continuous_long_short,10.0,419,-0.0019088811370902672,-0.2214597934540785,0.8247344395314482,0.8044296175888715,24,True,exploratory,0.0967327163082709,-0.028438728453094718,0.41451760382922637,0.10862874132207466,0.221483387085109,-0.3231686122576716,1.0,False
retrospective,VALUE,continuous_long_short,25.0,419,-0.009687072934840666,-1.1222372866709764,0.2617615628462865,0.8041308555719133,24,True,exploratory,0.09668441297434512,-0.028850584784817855,0.41516656146404507,0.10750926860002613,0.22002759761283067,-0.32257831493559674,1.0,False
retrospective,VALUE,long_only,0.0,419,-0.003928914683255371,-0.46159460082463033,0.6443720671565094,0.9531586745304311,24,True,exploratory,1.1018173957423312,0.26709453079418166,0.42428825345178456,0.17809055022900927,0.09426110855049824,-0.26173807284080963,1.0,False
retrospective,VALUE,long_only,10.0,419,-0.006534516510267204,-0.7673815100694384,0.4428547185904639,0.9531971549232444,24,True,exploratory,1.1018102827075027,0.2669095470969924,0.42449451996490334,0.1776336472413679,0.09383312968169748,-0.261562150463185,1.0,False
retrospective,VALUE,long_only,25.0,419,-0.010442919250784981,-1.2254331079060177,0.220412079033537,0.9532473046890066,24,True,exploratory,1.10179961315526,0.2666320715512085,0.4248039197345814,0.1769482927599058,0.09319116137849633,-0.26129826689674784,1.0,False
retrospective,VALUE,long_short,0.0,419,0.0016099132747042348,0.16509866313722632,0.8688663252342695,0.7275476896861168,24,True,exploratory,0.08575614191675285,-0.036684604597028325,0.3627637550861663,0.08951081039159227,0.26008998742311407,-0.2879206052294322,1.0,False
retrospective,VALUE,long_short,10.0,419,-0.004026902171786775,-0.41297646706772373,0.6796238554195424,0.7272656675044525,24,True,exploratory,0.08573047865408835,-0.03691572543798234,0.36320102288570905,0.0887781251185201,0.2591360916151303,-0.28758570844889364,1.0,False
retrospective,VALUE,long_short,25.0,419,-0.01248212534152329,-1.2797452021707454,0.20063476160947757,0.7267343822597336,24,True,exploratory,0.08569198376009156,-0.03726240669941337,0.36385692458502294,0.0876790972089117,0.25770524790315447,-0.2870833632780861,1.0,False
