date,period,signal,strategy,cost_bps,gross_return,net_return,turnover,benchmark_return,universe_size,long_count,short_count
1995-02-28,retrospective,COMPOSITE,continuous_long_short,25.0,0.005931922126187455,0.004594120623346501,0.5351206011363813,0.027154552681548955,960,510,450
1995-02-28,retrospective,COMPOSITE,long_only,0.0,0.0336407331037914,0.0336407331037914,0.3645833333333333,0.027154552681548955,960,192,0
1995-02-28,retrospective,COMPOSITE,long_only,10.0,0.0336407331037914,0.03327614977045806,0.3645833333333333,0.027154552681548955,960,192,0
1995-02-28,retrospective,COMPOSITE,long_only,25.0,0.0336407331037914,0.03272927477045807,0.3645833333333333,0.027154552681548955,960,192,0
1995-02-28,retrospective,COMPOSITE,long_short,0.0,0.007742212293562619,0.007742212293562619,0.6354166666666666,0.027154552681548955,960,192,192
1995-02-28,retrospective,COMPOSITE,long_short,10.0,0.007742212293562619,0.007106795626895952,0.6354166666666666,0.027154552681548955,960,192,192
1995-02-28,retrospective,COMPOSITE,long_short,25.0,0.007742212293562619,0.006153670626895952,0.6354166666666666,0.027154552681548955,960,192,192
1995-02-28,retrospective,INVESTMENT,continuous_long_short,0.0,0.002747357448011613,0.002747357448011613,0.3311281551277636,0.027314187117939252,922,529,393
1995-02-28,retrospective,INVESTMENT,continuous_long_short,10.0,0.002747357448011613,0.0024162292928838493,0.3311281551277636,0.027314187117939252,922,529,393
1995-02-28,retrospective,INVESTMENT,continuous_long_short,25.0,0.002747357448011613,0.0019195370601922037,0.3311281551277636,0.027314187117939252,922,529,393
1995-02-28,retrospective,INVESTMENT,long_only,0.0,0.033011193953163875,0.033011193953163875,0.18478260869565216,0.027314187117939252,922,184,0
1995-02-28,retrospective,INVESTMENT,long_only,10.0,0.033011193953163875,0.032826411344468225,0.18478260869565216,0.027314187117939252,922,184,0
1995-02-28,retrospective,INVESTMENT,long_only,25.0,0.033011193953163875,0.032549237431424745,0.18478260869565216,0.027314187117939252,922,184,0
1995-02-28,retrospective,INVESTMENT,long_short,0.0,0.0032589770287315394,0.0032589770287315394,0.34782608695652173,0.027314187117939252,922,184,184
1995-02-28,retrospective,INVESTMENT,long_short,10.0,0.0032589770287315394,0.0029111509417750177,0.34782608695652173,0.027314187117939252,922,184,184
1995-02-28,retrospective,INVESTMENT,long_short,25.0,0.0032589770287315394,0.002389411811340235,0.34782608695652173,0.027314187117939252,922,184,184
1995-02-28,retrospective,LV,continuous_long_short,0.0,-0.006330286455409489,-0.006330286455409489,0.6536804109573477,0.027016889489650198,977,532,445
1995-02-28,retrospective,LV,continuous_long_short,10.0,-0.006330286455409489,-0.006983966866366837,0.6536804109573477,0.027016889489650198,977,532,445
1995-02-28,retrospective,LV,continuous_long_short,25.0,-0.006330286455409489,-0.007964487482802858,0.6536804109573477,0.027016889489650198,977,532,445
1995-02-28,retrospective,LV,long_only,0.0,0.028488872732494,0.028488872732494,0.36923076923076925,0.027016889489650198,977,195,0
1995-02-28,retrospective,LV,long_only,10.0,0.028488872732494,0.028119641963263234,0.36923076923076925,0.027016889489650198,977,195,0
1995-02-28,retrospective,LV,long_only,25.0,0.028488872732494,0.02756579580941708,0.36923076923076925,0.027016889489650198,977,195,0
1995-02-28,retrospective,LV,long_short,0.0,-0.0035695299848560328,-0.0035695299848560328,0.7384615384615385,0.027016889489650198,977,195,195
1995-02-28,retrospective,LV,long_short,10.0,-0.0035695299848560328,-0.004307991523317571,0.7384615384615385,0.027016889489650198,977,195,195
1995-02-28,retrospective,LV,long_short,25.0,-0.0035695299848560328,-0.005415683831009879,0.7384615384615385,0.027016889489650198,977,195,195
1995-02-28,retrospective,MOM,continuous_long_short,0.0,0.020298876585074618,0.020298876585074618,1.0793582805897788,0.027068365204358947,967,470,497
1995-02-28,retrospective,MOM,continuous_long_short,10.0,0.020298876585074618,0.019219518304484838,1.0793582805897788,0.027068365204358947,967,470,497
1995-02-28,retrospective,MOM,continuous_long_short,25.0,0.020298876585074618,0.01760048088360017,1.0793582805897788,0.027068365204358947,967,470,497
1995-02-28,retrospective,MOM,long_only,0.0,0.039688629346523466,0.039688629346523466,0.6424870466321244,0.027068365204358947,967,193,0
1995-02-28,retrospective,MOM,long_only,10.0,0.039688629346523466,0.03904614229989134,0.6424870466321244,0.027068365204358947,967,193,0
1995-02-28,retrospective,MOM,long_only,25.0,0.039688629346523466,0.03808241172994316,0.6424870466321244,0.027068365204358947,967,193,0
