period,signal,strategy,cost_bps,n_months,cagr,annualized_volatility,sharpe,max_drawdown,hit_rate,average_monthly_turnover,benchmark_cagr,information_ratio_vs_benchmark,alpha_annualized,beta
development,VALUE,long_short,0.0,168,0.00011943532910274612,0.08877271406406817,0.04547541315150436,-0.33694232377550615,0.4880952380952381,0.4238447380797728,0.135737132549393,-0.9391765206773447,-0.026171235079574966,0.2169575607987416
development,VALUE,long_short,10.0,168,-0.004955775898590864,0.0887552804080565,-0.011820829177597527,-0.3647939652385461,0.48214285714285715,0.4238447380797728,0.135737132549393,-0.9740217682949062,-0.031184353842878227,0.21643313955674912
development,VALUE,long_short,25.0,168,-0.012525111320493831,0.08873801610432128,-0.09779761453700905,-0.41222424329481233,0.47619047619047616,0.4238447380797728,0.135737132549393,-1.026185979206462,-0.03870403198783313,0.2156465076937604
full,COMPOSITE,long_only,0.0,179,0.136396709144732,0.17303264319804157,0.8293237111641476,-0.27098001113357884,0.6312849162011173,0.39392444703613066,0.14310794340501842,-0.030949157390010223,-0.01484943435499917,1.0886426352728344
full,COMPOSITE,long_only,10.0,179,0.1310955312362312,0.17298210468389583,0.8022389408355224,-0.27196584539655144,0.6256983240223464,0.39392444703613066,0.14310794340501842,-0.10583051031788983,-0.01953871848227534,1.088382699210804
full,COMPOSITE,long_only,25.0,179,0.12318609392470492,0.17290717851598983,0.7615782151362802,-0.2777756856989886,0.6256983240223464,0.39392444703613066,0.14310794340501842,-0.21835659950943223,-0.026572644673189483,1.0879927951177584
full,COMPOSITE,long_short,0.0,179,0.018747315199942216,0.06727231606651389,0.3096927402677608,-0.17600421963850965,0.547486033519553,0.7338600719753612,0.14310794340501842,-0.6945837358247406,0.03940083072907907,-0.1276474945029463
full,COMPOSITE,long_short,10.0,179,0.00982655963478174,0.0672361681964515,0.17888329102799796,-0.20134795636169645,0.5251396648044693,0.7338600719753612,0.14310794340501842,-0.7435086352346493,0.030655501768052075,-0.12806680989224312
full,COMPOSITE,long_short,25.0,179,-0.003420860210208043,0.06718924511521394,-0.01759290866322863,-0.2723219004722416,0.5083798882681564,0.7338600719753612,0.14310794340501842,-0.8168447715383887,0.0175375083265116,-0.1286957829761883
full,LV,long_only,0.0,179,0.12905993533605375,0.1453864137213077,0.911786058224015,-0.22737924572740043,0.6871508379888268,0.3123982965793052,0.14384956062832543,-0.3472711385081288,-0.005217088504395326,0.9426051610415219
full,LV,long_only,10.0,179,0.1248705192242503,0.14539833172676062,0.8859284972361022,-0.2280318373017286,0.6759776536312849,0.3123982965793052,0.14384956062832543,-0.44306955535842985,-0.008980036173998403,0.9427020915824739
full,LV,long_only,25.0,179,0.11861282912197235,0.14541791550446886,0.8471401598733003,-0.22901021973225477,0.6703910614525139,0.3123982965793052,0.14384956062832543,-0.586769048591522,-0.01462445767840307,0.942847487393902
full,LV,long_short,0.0,179,-0.009701345613896573,0.1200076768346917,-0.021164861684792043,-0.37777187588330274,0.49162011173184356,0.6433787915556419,0.14384956062832543,-0.6208862820713885,0.06616948279553518,-0.4700727043997283
full,LV,long_short,10.0,179,-0.01733236889625145,0.12001521515611079,-0.08549325488973003,-0.400217722597631,0.48044692737430167,0.6433787915556419,0.14384956062832543,-0.6531833655517477,0.058406942597352844,-0.469785399406055
full,LV,long_short,25.0,179,-0.028678753725251194,0.12003376102097571,-0.18195972068368324,-0.43240533825022154,0.46368715083798884,0.6433787915556419,0.14384956062832543,-0.7016298952624439,0.046763132300079335,-0.46935444191554515
