date,turnover,solver,solver_status,objective_value,exit_turnover,eligible_names,buffered_holdings,minimum_position_cap
2012-06-29,0.29095252281880396,CLARABEL,optimal,0.01609062816117339,0.040000028863766586,216,16,0.00182923
2012-07-31,0.584568417256948,CLARABEL,optimal,0.015647829046018046,0.06000000014388001,223,23,0.0015460830000000002
2012-08-31,0.5550954163091377,CLARABEL,optimal,0.015141194755368174,0.040000000454021294,232,32,0.00044130350000000005
2012-09-28,0.606915834849127,CLARABEL,optimal,0.015316285123432144,0.048001815631434165,227,27,0.0003629235
2012-10-31,0.562160676677296,CLARABEL,optimal,0.014981714481349034,0.04705292356563428,233,33,0.00030493584
2012-11-30,0.5428390457842425,CLARABEL,optimal,0.0153722280480714,0.029250555467509824,227,27,0.00025775
2012-12-31,0.6128093206475757,CLARABEL,optimal,0.015578555840755032,0.07547641304840891,234,34,0.0002623
2013-01-31,0.5182841789645598,CLARABEL,optimal,0.015718716045932894,0.020000000501158684,228,28,0.00028749600000000004
2013-02-28,0.6278919062209383,CLARABEL,optimal,0.015439903007495266,0.029075401886174117,230,30,0.00030457
2013-03-28,0.4334600637806516,CLARABEL,optimal,0.01578584106069132,0.005237035577652366,229,29,0.0002999295
2013-04-30,0.3278477572600063,CLARABEL,optimal,0.016137626652349486,0.018335989687828562,225,25,0.00020904
2013-05-31,0.554280505393254,CLARABEL,optimal,0.015641926285960627,0.08084275836031636,234,34,0.00020873400000000002
2013-06-28,0.6884811488398337,CLARABEL,optimal,0.014807518220458303,0.05819086754321395,241,41,0.0002481095
2013-07-31,0.5204473122784379,CLARABEL,optimal,0.014790190238331946,0.020000000290291215,241,41,0.00035543900000000004
2013-08-30,0.7499950496487768,CLARABEL,optimal,0.01463902708619847,0.048283873737215655,248,48,0.000654967
2013-09-30,0.42548218647884434,CLARABEL,optimal,0.015402960476402204,0.1217589116314306,228,28,0.00084363
2013-10-31,0.48766643169295076,CLARABEL,optimal,0.015478129179306938,0.031561669815691897,239,39,0.000731612
2013-11-29,0.6752476806943734,CLARABEL,optimal,0.015564941322915625,0.039093927204525335,243,43,0.00043767
2013-12-31,0.4068060112080618,CLARABEL,optimal,0.01616383593273367,0.019999998415517153,227,27,0.0004004925
2014-01-31,0.5617452275407926,CLARABEL,optimal,0.015855713841900213,0.06974024367529827,223,23,0.000394683
2014-02-28,0.7285929593319622,CLARABEL,optimal,0.01568921257834035,0.0376541737894377,239,39,0.00038669400000000004
2014-03-31,0.7499993730828552,CLARABEL,optimal,0.016061209943879592,0.06397053846395695,229,29,0.00037560197999999997
2014-04-30,0.5381751144828659,CLARABEL,optimal,0.016576696592641642,0.08226699409297543,220,20,0.00034432394999999995
2014-05-30,0.5251292081152585,CLARABEL,optimal,0.016767635130918175,0.03374043574861345,225,25,0.0037572770149999998
2014-06-30,0.3248886942353608,CLARABEL,optimal,0.017055360399070636,0.013517327534654042,217,17,0.00342412646
2014-07-31,0.5489663472240986,CLARABEL,optimal,0.01639348683318676,0.09939576631062491,220,20,0.0037004006949999998
2014-08-29,0.5022069831020675,CLARABEL,optimal,0.01623118960220265,0.03384265390350087,219,19,0.0008033319750000001
2014-09-30,0.5211450405940612,CLARABEL,optimal,0.01678547382019687,0.040803332854295715,226,26,0.003942056015000001
2014-10-31,0.5890553629154209,CLARABEL,optimal,0.01698056398661984,0.1317189652464157,214,14,0.0036663123
2014-11-28,0.5187843848016503,CLARABEL,optimal,0.016627143775037958,0.06717880748540508,219,19,0.0039755088
2014-12-31,0.6635634999331279,CLARABEL,optimal,0.016446283041919973,0.11752919199874123,217,17,0.0044701568300000005
2015-01-30,0.49774347051817713,CLARABEL,optimal,0.01682694278462148,0.0676790353413054,217,17,0.00255553459
2015-02-27,0.7499997557658475,CLARABEL,optimal,0.0162569841031222,0.035783543462827215,225,25,0.0022539602399999996
2015-03-31,0.7215283769302459,CLARABEL,optimal,0.016665202186736117,0.10178334632373934,221,21,0.0017479681050000001
2015-04-30,0.539425030082917,CLARABEL,optimal,0.016800883124056754,0.0775164048948465,213,13,0.001553057995
