period,strategy,aum_usd,borrow_bps,n_months,cagr,annualized_volatility,sharpe,max_drawdown,hit_rate,average_monthly_turnover,benchmark_cagr,information_ratio_vs_benchmark,alpha_annualized,beta,mean_spread_cost,mean_impact_cost,mean_borrow_cost,maximum_adv_participation,capacity_breaches
full_retrospective,v4_hysteresis,500000000.0,50.0,179,0.04602853840059584,0.07954146295211854,0.6063523770250251,-0.16160965447367914,0.6089385474860335,0.5719570430247071,0.14691179282129507,-0.5426045772416609,0.058954088931349555,-0.07122363933991173,0.00024838245684634695,0.0004802571422194927,0.0004166666597991767,0.5740765677831486,3660
full_retrospective,v4_hysteresis,500000000.0,150.0,179,0.03565214995476107,0.07954146295401068,0.4806317847081685,-0.17971018250208504,0.5921787709497207,0.5719570430247071,0.14691179282129507,-0.5956259757727365,0.048954089092944325,-0.07122363931849271,0.00024838245684634695,0.0004802571422194927,0.0012499999793975302,0.5740765677831486,3660
full_retrospective,v4_hysteresis,500000000.0,300.0,179,0.02026437459150654,0.07954146295684889,0.2920508962440982,-0.20615820921987094,0.5810055865921788,0.5719570430247071,0.14691179282129507,-0.6751580735715729,0.033954089335336446,-0.07122363928636416,0.00024838245684634695,0.0004802571422194927,0.0024999999587950604,0.5740765677831486,3660
temporal_assessment,v4_hysteresis,10000000.0,50.0,47,0.06542680109107346,0.07899137661064111,0.8431309977791891,-0.10822596130708617,0.5957446808510638,0.5613129754349231,0.14131577752290547,-0.40493206846551816,0.07295586290170056,-0.042784013088401136,0.0002872810439018729,6.659225018076352e-05,0.0004166666596758328,0.010000001826850149,0
temporal_assessment,v4_hysteresis,10000000.0,150.0,47,0.05487415728737033,0.07899137661302716,0.7165349025722275,-0.12086284038146855,0.5957446808510638,0.5613129754349231,0.14131577752290547,-0.45434110932721716,0.06295586306614154,-0.042784013065924456,0.0002872810439018729,6.659225018076352e-05,0.0012499999790274985,0.010000001826850149,0
temporal_assessment,v4_hysteresis,10000000.0,300.0,47,0.03922472740304195,0.07899137661660624,0.5266407597761253,-0.1446537480137372,0.5957446808510638,0.5613129754349231,0.14131577752290547,-0.5284546706221652,0.04795586331280302,-0.042784013032209404,0.0002872810439018729,6.659225018076352e-05,0.002499999958054997,0.010000001826850149,0
temporal_assessment,v4_hysteresis,100000000.0,50.0,47,0.06359118581290102,0.07905612806107683,0.8205839136048806,-0.11100238831316767,0.5957446808510638,0.5613129754349231,0.14131577752290547,-0.4134523854558294,0.0712120422044456,-0.0426767836838328,0.0002872810439018729,0.0002105831850869722,0.0004166666596758328,0.1000000182685015,9
temporal_assessment,v4_hysteresis,100000000.0,150.0,47,0.05305521084816189,0.07905612806346278,0.694091507777083,-0.12391022166986987,0.5957446808510638,0.5613129754349231,0.14131577752290547,-0.46285939150213684,0.06121204236888657,-0.04267678366135611,0.0002872810439018729,0.0002105831850869722,0.0012499999790274985,0.1000000182685015,9
temporal_assessment,v4_hysteresis,100000000.0,300.0,47,0.03743052633058874,0.07905612806704175,0.5043528990497024,-0.14783743403342697,0.5957446808510638,0.5613129754349231,0.14131577752290547,-0.5369699005739969,0.046212042615548045,-0.042676783627641074,0.0002872810439018729,0.0002105831850869722,0.002499999958054997,0.1000000182685015,9
temporal_assessment,v4_hysteresis,500000000.0,50.0,47,0.060280187004674524,0.07917393159203996,0.7799113184974654,-0.11600082354177776,0.5957446808510638,0.5613129754349231,0.14131577752290547,-0.42885221052699424,0.06805970460538582,-0.04248294306462369,0.0002872810439018729,0.0004708783167728899,0.0004166666596758328,0.5000000913425074,651
temporal_assessment,v4_hysteresis,500000000.0,150.0,47,0.04977428452306065,0.07917393159442575,0.6536071217410582,-0.12979023839894976,0.5957446808510638,0.5613129754349231,0.14131577752290547,-0.4782554543017425,0.0580597047698268,-0.04248294304214701,0.0002872810439018729,0.0004708783167728899,0.0012499999790274985,0.5000000913425074,651
temporal_assessment,v4_hysteresis,500000000.0,300.0,47,0.03419424337153676,0.07917393159800444,0.4641508266207194,-0.153564060343242,0.5957446808510638,0.5613129754349231,0.14131577752290547,-0.5523603199662622,0.04305970501648828,-0.04248294300843196,0.0002872810439018729,0.0004708783167728899,0.002499999958054997,0.5000000913425074,651
