strategy,cost_bps,era,n_months,cagr,annualized_volatility,sharpe,max_drawdown,hit_rate,average_monthly_turnover,benchmark_cagr,information_ratio_vs_benchmark,alpha_annualized,beta
risk_neutral,10.0,2020s,59,0.05639980828976876,0.10639669564029662,0.5687394159563336,-0.13269653568512607,0.5254237288135594,0.7233771612867255,0.1489110336267363,-0.3959645643303789,0.08930904839727469,-0.18360340208928666
risk_neutral,25.0,1990s,120,0.031339492493379195,0.06333526779971624,0.5192137530707253,-0.11415920492528708,0.5583333333333333,0.7519370838832029,0.18714653306871853,-0.8414179459350715,0.07837439383270606,-0.2501378512580446
risk_neutral,25.0,2000s,120,0.056829464733777035,0.13487255959932212,0.4782256660841847,-0.17918193009439787,0.525,0.792092294684794,-0.0046455938427062415,0.21875534004844252,0.06808136263398264,-0.4282754742290776
risk_neutral,25.0,2010s,120,-0.0021180975073110675,0.05387310833690032,-0.012781653197791454,-0.1247951415020625,0.4666666666666667,0.6972187114781953,0.14031262634840802,-0.9175190714694618,0.019800004433367702,-0.1464399708307438
risk_neutral,25.0,2020s,59,0.04279316747352779,0.10629596074091156,0.44678278745456057,-0.14011950599351686,0.5254237288135594,0.7233771612867255,0.1489110336267363,-0.4495341230459771,0.07630759222209124,-0.183726663123062
risk_turnover_managed,0.0,1990s,120,0.046565201869126494,0.06359912712626486,0.7484064381880228,-0.10986070773797552,0.6166666666666667,0.39157091088149804,0.18714653306871853,-0.7559391122433019,0.0939057802133689,-0.25463546585220753
risk_turnover_managed,0.0,2000s,120,0.0801837388411899,0.1182636387074802,0.7123892620310872,-0.10327226607113127,0.6083333333333333,0.409615386888295,-0.0046455938427062415,0.30917635047746156,0.08760300315825771,-0.40094378125077323
risk_turnover_managed,0.0,2010s,120,0.012818093881107995,0.051173975875980965,0.27427386399472015,-0.09155219829745465,0.55,0.35760097629450577,0.14031262634840802,-0.832214476191386,0.03311354247976339,-0.13635690774431491
risk_turnover_managed,0.0,2020s,59,0.05530377267215636,0.10045735686749474,0.5860981798585967,-0.11893950189712221,0.5932203389830508,0.37319544499803964,0.1489110336267363,-0.4061515434087725,0.0881711651246759,-0.1867672968465516
risk_turnover_managed,10.0,1990s,120,0.04167075400271525,0.06367638774830675,0.6737056983104059,-0.11652694306150035,0.6,0.39157091088149804,0.18714653306871853,-0.7822728314546462,0.08920717298165592,-0.25463680589417553
risk_turnover_managed,10.0,2000s,120,0.07491934061324312,0.11823849224823238,0.6709689894786308,-0.11859767086445094,0.5916666666666667,0.409615386888295,-0.0046455938427062415,0.2891718703672616,0.08268710804704382,-0.4008827453083203
risk_turnover_managed,10.0,2010s,120,0.00848453823911699,0.05117463059578049,0.19041607668678098,-0.1017343498062786,0.5416666666666666,0.35760097629450577,0.14031262634840802,-0.8605566656772892,0.02882875789196651,-0.1364028449373924
risk_turnover_managed,10.0,2020s,59,0.0506066167169843,0.10045536644503143,0.5415293438129539,-0.12208720420028563,0.559322033898305,0.37319544499803964,0.1489110336267363,-0.42469451730073066,0.08370817079158285,-0.18686517134104258
risk_turnover_managed,25.0,1990s,120,0.03436776524893426,0.06380166721607611,0.5619111606688055,-0.12643840228132364,0.5833333333333334,0.39157091088149804,0.18714653306871853,-0.8217421051573703,0.08215926213408645,-0.25463881595712745
