date,factor_month,research_period,factor_cost_bps,gross_return,net_return,factor_sleeve_gross_return,factor_sleeve_net_return,equal_factor_gross_return,equal_factor_net_return,combined_unlevered_return,combined_risk_scaled_return,equal_factor_combination_return,v4_sleeve_weight,factor_sleeve_weight,combined_leverage
2014-08-29,2014-09,development,150.0,0.0079559988327862,0.0064285078769192,-0.008174841517703185,-0.009424841517703184,-0.009733333333333335,-0.010983333333333335,-0.004475683603198352,-0.008951367206396704,-0.005547639614184383,0.31218374056548803,0.6878162594345119,2.0
2014-09-30,2014-10,development,0.0,-0.001270732039479,-0.002866121512763,0.006942603437716643,0.006942603437716643,0.006816666666666668,0.006816666666666668,0.0038804789924978757,0.007760957984995751,0.0037938576337090218,0.31218374056548803,0.6878162594345119,2.0
2014-09-30,2014-10,development,50.0,-0.001270732039479,-0.002866121512763,0.006942603437716643,0.006525936771049976,0.006816666666666668,0.006400000000000001,0.003593888884400162,0.007187777768800324,0.003507267525611308,0.31218374056548803,0.6878162594345119,2.0
2014-09-30,2014-10,development,100.0,-0.001270732039479,-0.002866121512763,0.006942603437716643,0.006109270104383309,0.006816666666666668,0.005983333333333334,0.003307298776302449,0.006614597552604898,0.0032206774175135952,0.31218374056548803,0.6878162594345119,2.0
2014-09-30,2014-10,development,150.0,-0.001270732039479,-0.002866121512763,0.006942603437716643,0.0056926034377166425,0.006816666666666668,0.005566666666666668,0.0030207086682047355,0.006041417336409471,0.0029340873094158815,0.31218374056548803,0.6878162594345119,2.0
2014-10-31,2014-11,development,0.0,0.0184266663351673,0.016802813597175,0.0032652236406444466,0.0032652236406444466,-0.0007833333333333335,-0.0007833333333333335,0.007491439111515938,0.014982878223031876,0.004706775797567034,0.31218374056548803,0.6878162594345119,2.0
2014-10-31,2014-11,development,50.0,0.0184266663351673,0.016802813597175,0.0032652236406444466,0.00284855697397778,-0.0007833333333333335,-0.0012000000000000001,0.007204849003418224,0.014409698006836448,0.004420185689469321,0.31218374056548803,0.6878162594345119,2.0
2014-10-31,2014-11,development,100.0,0.0184266663351673,0.016802813597175,0.0032652236406444466,0.002431890307311113,-0.0007833333333333335,-0.0016166666666666669,0.0069182588953205105,0.013836517790641021,0.004133595581371607,0.31218374056548803,0.6878162594345119,2.0
2014-10-31,2014-11,development,150.0,0.0184266663351673,0.016802813597175,0.0032652236406444466,0.0020152236406444464,-0.0007833333333333335,-0.0020333333333333336,0.006631668787222798,0.013263337574445595,0.0038470054732738946,0.31218374056548803,0.6878162594345119,2.0
2014-11-28,2014-12,development,0.0,0.0140845243797549,0.012411247662379,0.007001277728582882,0.007001277728582882,0.0094,0.0094,0.008690182378862179,0.017380364757724358,0.010340062559010557,0.31218374056548803,0.6878162594345119,2.0
2014-11-28,2014-12,development,50.0,0.0140845243797549,0.012411247662379,0.007001277728582882,0.006584611061916215,0.0094,0.008983333333333334,0.008403592270764466,0.016807184541528932,0.010053472450912844,0.31218374056548803,0.6878162594345119,2.0
2014-11-28,2014-12,development,100.0,0.0140845243797549,0.012411247662379,0.007001277728582882,0.006167944395249548,0.0094,0.008566666666666667,0.008117002162666753,0.016234004325333506,0.009766882342815131,0.31218374056548803,0.6878162594345119,2.0
2014-11-28,2014-12,development,150.0,0.0140845243797549,0.012411247662379,0.007001277728582882,0.0057512777285828815,0.0094,0.008150000000000001,0.007830412054569039,0.015660824109138077,0.009480292234717419,0.31218374056548803,0.6878162594345119,2.0
2014-12-31,2015-01,development,0.0,0.0065465940155901,0.0048160321578665,-0.0056621581199643245,-0.0056621581199643245,-0.0063500000000000015,-0.0063500000000000015,-0.0023910374846741666,-0.004782074969348333,-0.002864146313682709,0.31218374056548803,0.6878162594345119,2.0
2014-12-31,2015-01,development,50.0,0.0065465940155901,0.0048160321578665,-0.0056621581199643245,-0.006078824786630991,-0.0063500000000000015,-0.006766666666666668,-0.0026776275927718803,-0.005355255185543761,-0.0031507364217804217,0.31218374056548803,0.6878162594345119,2.0
2014-12-31,2015-01,development,100.0,0.0065465940155901,0.0048160321578665,-0.0056621581199643245,-0.006495491453297658,-0.0063500000000000015,-0.007183333333333335,-0.002964217700869594,-0.005928435401739188,-0.0034373265298781354,0.31218374056548803,0.6878162594345119,2.0
2014-12-31,2015-01,development,150.0,0.0065465940155901,0.0048160321578665,-0.0056621581199643245,-0.006912158119964325,-0.0063500000000000015,-0.007600000000000002,-0.003250807808967307,-0.006501615617934614,-0.003723916637975849,0.31218374056548803,0.6878162594345119,2.0
2015-01-30,2015-02,development,0.0,-0.0250251512598117,-0.0266565586178977,0.0016175115135416912,0.0016175115135416912,-0.0017166666666666656,-0.0017166666666666656,-0.007209193461101997,-0.014418386922203994,-0.009502495425301077,0.31218374056548803,0.6878162594345119,2.0
2015-01-30,2015-02,development,50.0,-0.0250251512598117,-0.0266565586178977,0.0016175115135416912,0.0012008448468750245,-0.0017166666666666656,-0.002133333333333332,-0.007495783569199711,-0.014991567138399421,-0.00978908553339879,0.31218374056548803,0.6878162594345119,2.0
2015-01-30,2015-02,development,100.0,-0.0250251512598117,-0.0266565586178977,0.0016175115135416912,0.0007841781802083579,-0.0017166666666666656,-0.002549999999999999,-0.007782373677297423,-0.015564747354594847,-0.010075675641496503,0.31218374056548803,0.6878162594345119,2.0
2015-01-30,2015-02,development,150.0,-0.0250251512598117,-0.0266565586178977,0.0016175115135416912,0.0003675115135416912,-0.0017166666666666656,-0.0029666666666666656,-0.008068963785395136,-0.016137927570790273,-0.010362265749594217,0.31218374056548803,0.6878162594345119,2.0
2015-02-27,2015-03,development,0.0,0.0163253809676223,0.0145864543623479,0.004553653204207802,0.004553653204207802,0.006266666666666666,0.006266666666666666,0.007685730598105738,0.015371461196211475,0.008863969110215156,0.31218374056548803,0.6878162594345119,2.0
2015-02-27,2015-03,development,50.0,0.0163253809676223,0.0145864543623479,0.004553653204207802,0.004136986537541135,0.006266666666666666,0.005849999999999999,0.007399140490008024,0.014798280980016048,0.008577379002117441,0.31218374056548803,0.6878162594345119,2.0
2015-02-27,2015-03,development,100.0,0.0163253809676223,0.0145864543623479,0.004553653204207802,0.0037203198708744686,0.006266666666666666,0.0054333333333333326,0.007112550381910311,0.014225100763820622,0.008290788894019728,0.31218374056548803,0.6878162594345119,2.0
2015-02-27,2015-03,development,150.0,0.0163253809676223,0.0145864543623479,0.004553653204207802,0.003303653204207802,0.006266666666666666,0.005016666666666666,0.006825960273812598,0.013651920547625197,0.008004198785922016,0.31218374056548803,0.6878162594345119,2.0
2015-03-31,2015-04,development,0.0,-0.0147529165589251,-0.0164643231562245,-0.013386456934873923,-0.013386456934873923,-0.014066666666666667,-0.014066666666666667,-0.014347316724815307,-0.028694633449630615,-0.014815176038167947,0.31218374056548803,0.6878162594345119,2.0
2015-03-31,2015-04,development,50.0,-0.0147529165589251,-0.0164643231562245,-0.013386456934873923,-0.013803123601540589,-0.014066666666666667,-0.014483333333333332,-0.014633906832913022,-0.029267813665826044,-0.015101766146265658,0.31218374056548803,0.6878162594345119,2.0
2015-03-31,2015-04,development,100.0,-0.0147529165589251,-0.0164643231562245,-0.013386456934873923,-0.014219790268207256,-0.014066666666666667,-0.0149,-0.014920496941010736,-0.029840993882021473,-0.015388356254363373,0.31218374056548803,0.6878162594345119,2.0
2015-03-31,2015-04,development,150.0,-0.0147529165589251,-0.0164643231562245,-0.013386456934873923,-0.014636456934873922,-0.014066666666666667,-0.015316666666666666,-0.015207087049108448,-0.030414174098216895,-0.015674946362461088,0.31218374056548803,0.6878162594345119,2.0
2015-04-30,2015-05,development,0.0,-0.0002517786948328,-0.0018563150623454,0.007714955153557447,0.007714955153557447,0.0070999999999999995,0.0070999999999999995,0.00472696021559385,0.0094539204311877,0.00430398406215399,0.31218374056548803,0.6878162594345119,2.0
2015-04-30,2015-05,development,50.0,-0.0002517786948328,-0.0018563150623454,0.007714955153557447,0.00729828848689078,0.0070999999999999995,0.006683333333333333,0.004440370107496136,0.008880740214992272,0.004017393954056277,0.31218374056548803,0.6878162594345119,2.0
2015-04-30,2015-05,development,100.0,-0.0002517786948328,-0.0018563150623454,0.007714955153557447,0.0068816218202241135,0.0070999999999999995,0.006266666666666666,0.004153779999398423,0.008307559998796846,0.0037308038459585627,0.31218374056548803,0.6878162594345119,2.0
2015-04-30,2015-05,development,150.0,-0.0002517786948328,-0.0018563150623454,0.007714955153557447,0.006464955153557447,0.0070999999999999995,0.005849999999999999,0.003867189891300709,0.007734379782601418,0.00344421373786085,0.31218374056548803,0.6878162594345119,2.0
2015-05-29,2015-06,development,0.0,0.0398894079380246,0.0383291710962173,0.002301578619037973,0.002301578619037973,0.003916666666666666,0.003916666666666666,0.013548807202132852,0.027097614404265703,0.014659691021710209,0.31218374056548803,0.6878162594345119,2.0
2015-05-29,2015-06,development,50.0,0.0398894079380246,0.0383291710962173,0.002301578619037973,0.0018849119523713063,0.003916666666666666,0.0034999999999999996,0.013262217094035139,0.026524434188070278,0.014373100913612496,0.31218374056548803,0.6878162594345119,2.0
2015-05-29,2015-06,development,100.0,0.0398894079380246,0.0383291710962173,0.002301578619037973,0.0014682452857046396,0.003916666666666666,0.003083333333333333,0.012975626985937426,0.025951253971874852,0.014086510805514783,0.31218374056548803,0.6878162594345119,2.0
2015-05-29,2015-06,development,150.0,0.0398894079380246,0.0383291710962173,0.002301578619037973,0.001051578619037973,0.003916666666666666,0.002666666666666666,0.012689036877839713,0.025378073755679426,0.013799920697417069,0.31218374056548803,0.6878162594345119,2.0
2015-06-30,2015-07,development,0.0,0.0560711623007787,0.0544152915296734,0.006299428175605547,0.006299428175605547,0.0011666666666666676,0.0011666666666666676,0.021320418378016338,0.042640836756032675,0.017790021556368555,0.31218374056548803,0.6878162594345119,2.0
2015-06-30,2015-07,development,50.0,0.0560711623007787,0.0544152915296734,0.006299428175605547,0.00588276150893888,0.0011666666666666676,0.0007500000000000009,0.021033828269918623,0.042067656539837246,0.017503431448270844,0.31218374056548803,0.6878162594345119,2.0
2015-06-30,2015-07,development,100.0,0.0560711623007787,0.0544152915296734,0.006299428175605547,0.005466094842272213,0.0011666666666666676,0.00033333333333333424,0.020747238161820912,0.041494476323641824,0.01721684134017313,0.31218374056548803,0.6878162594345119,2.0
2015-06-30,2015-07,development,150.0,0.0560711623007787,0.0544152915296734,0.006299428175605547,0.0050494281756055465,0.0011666666666666676,-8.33333333333324e-05,0.020460648053723197,0.040921296107446395,0.016930251232075415,0.31218374056548803,0.6878162594345119,2.0
2015-07-31,2015-08,development,0.0,0.0113039383004223,0.0096603624841689,-0.009592762840454298,-0.009592762840454298,-0.0052833333333333335,-0.0052833333333333335,-0.0035822501590373006,-0.007164500318074601,-0.0006181544751526469,0.31218374056548803,0.6878162594345119,2.0
